,AE004969.1
NMB0242,1.0
NMB0259,1.0
NMB0241,1.0
NMB0244,1.0
NMB0243,1.0
NMB0258,1.0
NMB0250,1.0
NMB0245,1.0
NMB0253,1.0
NMB0246,1.0
NMB0249,1.0
NMB0254,1.0
NMB0251,1.0
NMB0564,1.0
NMB0567,1.0
NMB0568,1.0
NMB0566,1.0
NMB0565,1.0
NMB0569,1.0
NMB0807,1.0
NMB0977,1.0
NMB1364,1.0
NMB0978,1.0
NMB0980,1.0
NMB1505,1.0
NMB0716,1.0
NMB0536,1.0
NMB0531,1.0
NMB1307,1.0
NMB0089,1.0
NMB0615,1.0
NMB1622,1.0
NMB2024,1.0
NMB2157,1.0
NMB0396,1.0
NMB1677,1.0
NMB1484,1.0
NMB0639,1.0
NMB1573,1.0
NMB0326,1.0
NMB1640,1.0
NMB0743,1.0
NMB0323,1.0
NMB0824,1.0
NMB1945,1.0
NMB1694,1.0
NMB0559,1.0
NMB1874,1.0
NMB0401,1.0
NMB0055,1.0
NMB0871,1.0
NMB0947,1.0
NMB1341,1.0
NMB1342,1.0
NMB1344,1.0
NMB1360,1.0
NMB0448,1.0
NMB0195,1.0
NMB2010,1.0
NMB1638,1.0
NMB1690,1.0
NMB0334,1.0
NMB1388,1.0
NMB0010,1.0
NMB1391,1.0
NMB0620,1.0
NMB1830,1.0
NMB1604,1.0
NMB0790,1.0
NMB0386,1.0
NMB1588,1.0
NMB1669,1.0
NMB1678,1.0
NMB0378,1.0
NMB0464,1.0
NMB0474,1.0
NMB0270,1.0
NMB0641,1.0
NMB0801,1.0
NMB2061,1.0
NMB1658,1.0
NMB1900,1.0
NMB0440,1.0
NMB0618,1.0
NMB2151,1.0
NMB0688,1.0
NMB1252,1.0
NMB0627,1.0
NMB0757,1.0
NMB0603,1.0
NMB1996,1.0
NMB0629,1.0
NMB0402,1.0
NMB0875,1.0
NMB1432,1.0
NMB0963,1.0
NMB0981,1.0
NMB1318,1.0
NMB0631,1.0
NMB2019,1.0
NMB0610,1.0
NMB0612,1.0
NMB0462,1.0
NMB0623,1.0
NMB2042,1.0
NMB0611,1.0
NMB1594,1.0
NMB0394,1.0
NMB0684,1.0
NMB1247,1.0
NMB1981,1.0
NMB1291,1.0
NMB1288,1.0
NMB1244,1.0
NMB1511,1.0
NMB2090,1.0
NMB1191,1.0
NMB1192,0.0
NMB1154,0.0
NMB0894,1.0
NMB0560,1.0
NMB0878,1.0
NMB0211,1.0
NMB1305,1.0
NMB1194,1.0
NMB1156,1.0
NMB0358,1.0
NMB1813,1.0
NMB0802,1.0
NMB1609,1.0
NMB0922,1.0
NMB0240,1.0
NMB0869,1.0
NMB0884,1.0
NMB1398,0.0
NMB1488,1.0
NMB0950,1.0
NMB0951,1.0
NMB0949,1.0
NMB0948,1.0
NMB0960,1.0
NMB0959,1.0
NMB0881,1.0
NMB0880,1.0
NMB1017,1.0
NMB0879,1.0
NMB1189,1.0
NMB1190,1.0
NMB1151,1.0
NMB0180,1.0
NMB0181,1.0
NMB0351,1.0
NMB0081,0.0
NMB0756,1.0
NMB0063,1.0
NMB0079,1.0
NMB0672,1.0
NMB0550,1.0
NMB0461,1.0
NMB0460,1.0
NMB0335,1.0
NMB1839,1.0
NMB0750,1.0
NMB2026,1.0
NMB0041,1.0
NMB2062,1.0
NMB1379,1.0
NMB2071,1.0
NMB1457,1.0
NMB1709,1.0
NMB0385,1.0
NMB2069,1.0
NMB1887,1.0
NMB1324,1.0
NMB1958,1.0
NMB0699,1.0
NMB0678,1.0
NMB2031,1.0
NMB0414,1.0
NMB0070,0.0
NMB0178,1.0
NMB0011,1.0
NMB0422,1.0
NMB0420,1.0
NMB0423,1.0
NMB0811,1.0
NMB2051,1.0
NMB2052,1.0
NMB2053,1.0
NMB0408,1.0
NMB0186,1.0
NMB0064,1.0
NMB0078,1.0
NMB0416,1.0
NMB0017,1.0
NMB1145,1.0
NMB1183,1.0
NMB2103,1.0
NMB0778,1.0
NMB0777,1.0
NMB0781,1.0
NMB0774,1.0
NMB0428,1.0
NMB0930,1.0
NMB1315,1.0
NMB0544,1.0
NMB1823,1.0
NMB0175,0.0
