,AE004969.1
NMB1418,NGO0154
NMB1429,None
NMB1432,NGO0900
NMB1439,NGO0748
NMB1441,NGO0746
NMB1446,NGO0740
NMB1457,NGO1028
NMB1467,NGO1041
NMB1476,None
NMB1484,NGO1058
NMB1488,NGO1061
NMB1498,NGO0956
NMB1505,NGO0962
NMB1509,NGO0968
NMB1511,NGO0970
NMB1512,NGO0971
NMB1513,NGO0972
NMB1518,NGO0977
NMB1519,NGO0978
NMB1527,NGO0987
NMB1530,NGO0991
NMB1540,None
NMB1554,NGO1212
NMB1555,NGO1213
NMB1558,NGO1216
NMB1559,NGO1217
NMB1566,NGO1224
NMB1572,NGO1231
NMB1573,NGO1232
NMB1574,NGO1233
NMB1576,NGO1235
NMB1577,NGO1236
NMB1579,NGO1238
NMB1581,NGO1240
NMB1582,NGO1241
NMB1583,NGO1242
NMB1588,NGO1247
NMB1594,NGO1253
NMB1603,None
NMB1604,NGO1258
NMB1609,NGO1149
NMB1612,NGO1152
NMB1613,NGO1029
NMB1616,NGO1160
NMB1620,NGO1274
NMB1621,None
NMB1622,NGO1275
NMB1623,NGO1276
NMB1638,None
NMB1640,NGO1283
NMB1647,NGO1290
NMB1651,NGO1295
NMB1658,NGO1307
NMB1659,NGO1308
NMB1661,NGO1310
NMB1662,NGO1311
NMB1663,NGO1312
NMB1668,None
NMB1669,NGO1318
NMB1677,NGO1328
NMB1678,NGO1329
NMB1680,NGO1331
NMB1685,NGO1336
NMB1688,NGO1339
NMB1690,NGO1341
NMB1691,NGO1342
NMB1692,NGO1343
NMB1694,NGO1345
NMB1702,NGO2163
NMB1703,None
NMB1704,NGO1353
NMB1705,NGO1354
NMB1709,NGO1357
NMB1710,NGO1358
NMB1712,NGO1361
NMB1714,NGO1363
NMB1719,NGO1368
NMB1723,NGO1371
NMB1724,NGO1373
NMB1725,NGO1374
NMB1728,NGO1377
NMB1729,NGO1378
NMB1730,NGO1379
NMB1732,None
NMB1735,NGO1382
NMB1787,NGO0118
NMB1794,NGO0110
NMB1797,NGO0107
NMB1799,NGO0106
NMB1801,NGO0105
NMB1805,NGO0101
NMB1807,NGO0099
NMB1813,NGO0093
NMB1814,NGO0092
NMB1817,NGO0089
NMB1823,NGO0082
NMB1830,NGO0073
NMB1831,NGO0072
NMB1834,NGO0068
NMB1839,NGO0062
NMB1841,NGO0060
NMB1849,NGO0053
NMB1855,NGO0048
NMB1860,NGO0045
NMB1861,NGO0044
NMB1864,NGO0040
NMB1867,NGO0036
NMB1869,NGO0034
NMB1874,NGO0029
NMB1876,NGO0027
NMB1887,NGO0017
NMB1900,NGO0003
NMB1916,NGO2168
NMB1918,NGO2166
NMB1919,NGO2165
NMB1920,NGO2164
NMB1921,NGO2163
NMB1924,NGO2161
NMB1926,NGO2159
NMB1928,NGO2156
NMB1929,NGO2158
NMB1933,NGO2151
NMB1934,NGO2150
NMB1935,NGO2149
NMB1936,NGO2148
NMB1937,NGO2147
NMB1938,NGO2146
NMB1939,NGO2145
NMB1940,NGO2144
NMB1941,NGO2143
NMB1945,NGO2140
NMB1946,NGO2139
NMB1947,NGO2138
NMB1948,NGO2137
NMB1955,NGO2127
NMB1958,NGO2124
NMB1968,NGO2114
NMB1970,NGO2112
NMB1976,NGO2098
NMB1981,NGO2102
NMB1996,NGO1183
NMB1997,NGO1187
NMB1999,NGO1188
NMB2005,NGO1194
NMB2006,NGO1195
NMB2010,NGO1198
NMB2019,NGO2085
NMB2024,NGO2080
NMB2025,NGO2079
NMB2026,NGO2078
NMB2027,NGO2077
NMB2028,NGO2076
NMB2029,NGO2075
NMB2030,NGO2074
NMB2031,NGO2073
NMB2033,NGO2070
NMB2034,NGO2069
NMB2039,NGO1812
NMB2040,NGO2041
NMB2042,NGO2039
NMB2044,NGO2038
NMB2045,NGO2037
NMB2046,NGO2036
NMB2047,NGO2035
NMB2051,NGO2031
NMB2052,NGO2030
NMB2053,NGO2029
NMB2060,NGO2021
NMB2061,NGO2020
NMB2062,NGO2019
NMB2064,NGO2016
NMB2067,NGO2009
NMB2069,NGO2007
NMB2071,NGO2005
NMB2075,NGO2001
NMB2076,NGO2000
NMB2079,NGO1997
NMB2090,NGO1986
NMB2096,NGO1980
NMB2103,NGO1973
NMB2129,NGO1961
NMB2133,NGO1957
NMB2151,NGO1939
NMB2156,NGO1934
NMB2157,NGO1933
NMB2159,NGO1931
Orphan,Orphan
Sgene,Sgene
