reaction	linear_coefficient
AGPAT160a	[0.12314901603804786, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.08009096570653995, 0.3562912645158765]
AGPAT161a	[0.12314901603804786, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.08009096570653995, 0.3562912645158765]
AGPAT180	[0.12314901603804786, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.08009096570653995, 0.3562912645158765]
AGPAT181	[0.12314901603804786, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.08009096570653995, 0.3562912645158765]
AGPR	[0.04476678569147909, 0.34229975224300524, 0.1488685759947439, 0.0632639193756689, 0.028900831135952387, 0.3562912645158765]
Agt	[0.04482800387392296, 0.34229975224300524, 0.17053723856816258, 0.28450674934064935, 0.025976657756439953, 0.3562912645158765]
AHCYSNS	[0.04482800387392296, 0.0407798616268003, 0.049587368217377005, 0.050817747388597845, 0.08952185236619556, 0.03694634110846454]
AICART	[0.017685392232872545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
AIRC2	[0.026936990054702244, 0.0405525044003549, 0.044215878506934266, 0.04548367367985311, 0.019273289541417295, 0.03353030561245284]
AIRC3	[0.2034596191315985, 0.34229975224300524, 0.2364445646978807, 0.2982258252809436, 0.17037268124534638, 0.3562912645158765]
AKGDH	[0.0036358193620046105, 0.005185824731068347, 0.0054583269000662155, 0.005235662968415557, 0.002985130804659433, 0.0037433464147457523]
AKGt3pp	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.013091484414553288, 0.023941259389245458]
AKGtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ALAabcpp	[0.006681423938587094, 0.02705550994700421, 0.01777255841312203, 0.03968227562111614, 0.005071383157294035, 0.023941259389245458]
ALAALAr	[0.03644111287911291, 0.06271351850027033, 0.061122063808735916, 0.058899677250332294, 0.08009096570653995, 0.04473577236688611]
ALAALAtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ALADt2pp	[0.012719067182113674, 0.02705550994700421, 0.00989193745471737, 0.03968227562111614, 0.004336064705135938, 0.023941259389245458]
ALAR	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ALAt1pp	[0.012719067182113674, 0.02705550994700421, 0.00989193745471737, 0.03968227562111614, 0.004336064705135938, 0.023941259389245458]
ALAt2pp	[0.012719067182113674, 0.02705550994700421, 0.00989193745471737, 0.03968227562111614, 0.004336064705135938, 0.023941259389245458]
ALAtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ALCD19	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
ALDD2x	[0.022176286590291545, 0.02705550994700421, 0.03391138804200328, 0.03968227562111614, 0.017356935556755094, 0.03445140223239655]
ALDD3y	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
ALLtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ALLTNtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
AM3PA	[0.19320557357225046, 0.34229975224300524, 0.22760170408613142, 0.2982258252809436, 0.1588469920184962, 0.3562912645158765]
AM4PA	[0.19320557357225046, 0.34229975224300524, 0.22760170408613142, 0.2982258252809436, 0.1588469920184962, 0.3562912645158765]
AM4PCP	[0.18362492801978494, 0.34229975224300524, 0.22755298309102534, 0.2982258252809436, 0.08457127813596836, 0.3562912645158765]
AMAOTr	[0.19320557357225046, 0.34229975224300524, 0.22760170408613142, 0.2982258252809436, 0.139985218699185, 0.3562912645158765]
AMPMS2	[0.40879305532114063, 0.5075695094332837, 0.5607315081237936, 0.4858478270211089, 0.1713474057051839, 0.48945862702600557]
AMPTASEAGl	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.014057658659830784, 0.023941259389245458]
AMPTASECG	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.014057658659830784, 0.023941259389245458]
AMPtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ANHGMtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ANHMK	[0.19320557357225046, 0.34229975224300524, 0.2245810023895559, 0.2982258252809436, 0.13735175261471183, 0.3562912645158765]
ANPRT	[0.11153286591932372, 0.04578803608711178, 0.1488685759947439, 0.05293925397730314, 0.03254322253850297, 0.04390170849843316]
ANS	[0.026936990054702244, 0.048415275148258774, 0.03674938600693108, 0.05293925397730314, 0.032628724684102745, 0.03445140223239655]
AOXSr	[0.15427846181075525, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.08457127813596836, 0.3562912645158765]
APRAUR	[0.14750620037790224, 0.34229975224300524, 0.20912426669215944, 0.2982258252809436, 0.12668108484385943, 0.3562912645158765]
ARBtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ARGabcpp	[0.006681423938587094, 0.02705550994700421, 0.01777255841312203, 0.03968227562111614, 0.005071383157294035, 0.023941259389245458]
ARGDC	[0.017685392232872545, 0.02705550994700421, 0.024654398971852523, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ARGSL	[0.017700696778483512, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.012253563387675455, 0.023941259389245458]
ARGSS	[0.022176286590291545, 0.02705550994700421, 0.03687118849469623, 0.03968227562111614, 0.017356935556755094, 0.025545050663177093]
ARGt1pp	[0.012719067182113674, 0.02705550994700421, 0.00989193745471737, 0.03968227562111614, 0.004336064705135938, 0.023941259389245458]
ARGt2pp	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.013091484414553288, 0.023941259389245458]
ARGtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ASAD	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.012946130767033662, 0.023941259389245458]
ASCBtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ASNabcpp	[0.006681423938587094, 0.02705550994700421, 0.01777255841312203, 0.03968227562111614, 0.005071383157294035, 0.023941259389245458]
ASNN	[0.11153286591932372, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.09863638108713198, 0.3562912645158765]
ASNNpp	[0.11153286591932372, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.09863638108713198, 0.3562912645158765]
ASNSYN	[0.0160248490340826, 0.02705550994700421, 0.025543557132538062, 0.03968227562111614, 0.00622566212289105, 0.023941259389245458]
ASNt1pp	[0.012719067182113674, 0.02705550994700421, 0.00989193745471737, 0.03968227562111614, 0.004336064705135938, 0.023941259389245458]
ASNt2pp	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.013091484414553288, 0.023941259389245458]
ASNtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ASO3tex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ASP1DC	[0.17871982115146995, 0.34229975224300524, 0.18739470287485815, 0.2982258252809436, 0.15460608559674718, 0.3562912645158765]
ASPabcpp	[0.006681423938587094, 0.02705550994700421, 0.01777255841312203, 0.03968227562111614, 0.005071383157294035, 0.023941259389245458]
ASPCT	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ASPK	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ASPO3	[0.03743590834382578, 0.03238027520534475, 0.03968482596207099, 0.03968227562111614, 0.02067552472925367, 0.044685003261849855]
ASPO5	[0.03743590834382578, 0.03238027520534475, 0.03968482596207099, 0.03968227562111614, 0.02067552472925367, 0.044685003261849855]
ASPO6	[0.03743590834382578, 0.03238027520534475, 0.03968482596207099, 0.03968227562111614, 0.02067552472925367, 0.044685003261849855]
ASPT	[0.043879122046042995, 0.34229975224300524, 0.17180398444092002, 0.2982258252809436, 0.032628724684102745, 0.0450693979142673]
ASPt1pp	[0.012719067182113674, 0.02705550994700421, 0.00989193745471737, 0.03968227562111614, 0.004336064705135938, 0.023941259389245458]
ASPt2pp	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.013091484414553288, 0.023941259389245458]
