	minimum	maximum
CYSt1pp	0.040145381295496746	0.10036345323874231
CYStex	0.04014538129547418	0.1003634532387423
CYTK1	0.10686436285419375	0.26716090713548435
D_LACtex	-27.010284192698293	10.0
DALAtex	0.02730412524658732	0.06826031311675251
DAPE	0.027304125246654192	0.06826031311663558
DASYN120	0.001996589256496504	0.004991473141241268
DASYN140	0.0016971905475811036	0.004242976368952766
DASYN141	0.007290097327361094	0.018225243318402765
DASYN160	0.044543133323557	0.11135783330889268
DASYN161a	0.022405619385598242	0.05601404846399569
DASYN180	0.0011776698221070097	0.002944174555267529
DASYN181	0.008784740617429931	0.021961851543574863
DB4PS	0.0005844799548839819	0.001461199887209958
DDPA	0.000584479954883983	0.001461199887209957
DHAD1	0.0	0.0009435550841171296
DHDPRy	0.027304125246654192	0.06826031311663558
DHDPS	0.027304125246654192	0.06826031311663558
DHFR	0.01312788975707788	0.032819724392694746
DHFS	0.00043835996616298743	0.0010958999154074675
DHNPA2	0.00043835996616298743	0.0010958999154074675
DHPPDA2	0.00029223997744199097	0.000730599943604979
DHPS3	0.00043835996616298743	0.0010958999154074675
DHPTDCs	0.00029223997744199113	0.000730599943604979
DHQS	0.000584479954883983	0.001461199887209957
DHQTi	0.000584479954883983	0.001461199887209957
DLACt2pp	-27.010284192698293	10.0
DM_BIOMASS	0.6552465861928052	1.6381164654820135
DM_HMFURN	0.00029223997744199113	0.000730599943604979
DMATT	0.000182158550961599	0.0004553963774039995
DMPPS	0.000182158550961599	0.0004553963774039995
DNMPPA	0.00043835996616298743	0.0010958999154074675
DNTPPA	0.00043835996616298743	0.0010958999154074675
DPCOAK	0.00037742203364680635	0.0009435550841171296
DPR	0.00037742203364680635	0.0009435550841171296
DTMPK	0.012689529790914892	0.03172382447728728
DXPRIi	0.0015653840944146022	0.003913460236036526
DXPS	0.0017115040831355978	0.0042787602078390155
E4PD	0.00014611998872099557	0.0003652999718024895
EAR100x	0.17407571766506197	0.4351892941626555
EAR120x	0.15704920121906074	0.39262300304765235
EAR121x	0.06727682250119196	0.16819205625298017
EAR140x	0.09793668518653799	0.24484171296634533
EAR141x	0.06727682250119196	0.16819205625298017
EAR160x	0.09454230409137578	0.2363557602284398
EAR161a	0.020406399238106644	0.0510159980952667
EAR161x	0.05220947585933357	0.13052368964833413
EAR180x	0.0027354883431502082	0.0068387208578755306
EAR181x	0.020406399238106644	0.0510159980952667
EAR40x	0.24135254016625393	0.6033813504156357
EAR60x	0.24135254016625393	0.6033813504156357
EAR80x	0.24135254016625393	0.6033813504156357
EDA	0.0	9.650025856250446
EDD	0.0	9.650025856250446
EDTXS1	0.008513258223000614	0.021283145557501545
EDTXS2	0.008513258223000614	0.02128314555750157
ENO	0.04549960160242339	9.44060020753392
EX_ac_e_	-10.0	29.614260462101846
EX_ade_e_	-0.03712960881337821	-0.01485184352536095
EX_ala_D_e_	-0.06826031311675251	-0.02730412524658732
EX_ala_L_e_	-1.3809853271921642	-0.5520167088432185
EX_arg_L_e_	-0.534392568788707	-0.21375702751548276
EX_asn_L_e_	-0.4121664206766127	-0.1648665682706678
EX_ca2_e_	-0.0077597576970447335	-0.003103903078795156
EX_cl_e_	-0.007759757696988297	-0.0031039030787953182
EX_co2_e_	12.03981674098975	34.13363290676318
EX_cobalt2_e_	-0.005173171797991927	-0.0020692687191967707
EX_cu2_e_	-0.005173171797992198	-0.002069268719196879
EX_cys_L_e_	-0.1003634532387423	-0.04014538129547418
EX_fe3_e_	-0.023646211179197962	-0.009458484471679185
EX_glc_D_e_	-10.0	-0.604899394068525
EX_gln_L_e_	-1.0637055821487138	-0.3395329295964302
EX_glu_L_e_	-0.9224703866889854	0.0
EX_gly_e_	-1.5267997342807575	0.0
EX_glyclt_e_	0.0004383599662105553	0.0010958999154127014
EX_gua_e_	-0.21872084308847642	0.0
EX_h2o_e_	41.06781641802736	120.18936929199761
EX_Hg_e_	3.652999718006811e-05	9.132499295062225e-05
EX_HgFe3_e_	-9.132499295062229e-05	-3.652999718024889e-05
EX_his_L_e_	-0.16566400220790456	-0.06626560088318456
EX_ile_L_e_	-0.47816642729162595	-0.19126657091669585
EX_k_e_	-0.29092948426960574	-0.1163717937078422
EX_lac_D_e_	-10.0	27.01028419269845
EX_leu_L_e_	-0.7742186879389692	-0.30968747517556494
EX_lys_L_e_	-0.5750741896255249	-0.2300296758502327
EX_met_L_e_	-0.16796306161097618	-0.06718522464439047
EX_mg2_e_	-0.01293292949503666	-0.005173171797991927
EX_mn2_e_	-0.005173171797991927	-0.0020692687191967707
EX_mobd_e_	-0.005173171797991927	-0.0020692687191967707
EX_n2o_e_	-5.711272412335749	5.0
EX_no2_e_	-10.0	11.422544824671604
EX_o2_e_	-20.0	-5.260999999999967
EX_phe_L_e_	-0.3260253479995052	-0.130410139199802
EX_pi_e_	-2.3290357784771416	-0.9316143113908857
EX_pro_L_e_	-1.306255928775954	-0.1614852993467366
EX_pyr_e_	-10.0	0.0
EX_ser_L_e_	-1.9651986555159056	-0.17237960213151382
EX_so4_e_	-0.0064672838057049375	-0.0025869135222365003
EX_thm_e_	-0.00036529997180248915	-0.00014611998872099557
EX_thr_L_e_	-0.4734438890286583	-0.18937755561148606
EX_trp_L_e_	-0.11294498180939172	-0.045177992723779425
EX_tyr_L_e_	-0.2338085159954572	-0.09352340639818281
EX_ura_e_	-0.4284524304819115	-0.1713809721927646
EX_val_L_e_	-0.7205161537728935	-0.28783007730374116
EX_xan_e_	-0.21793254790475203	0.0
EX_zn2_e_	-0.005173171797991927	-0.0020692687191967707
FE3abcpp1	0.009458484471693144	0.02364621117923287
FE3Ri	0.002401151115103535	0.006002877787758846
FE3tex	0.009458484471679185	0.023646211179197962
FMNAT	0.00014611998872099538	0.0003652999718024895
FUM	0.24501143438602002	12.54725239114668
G1PACT	0.08866128338531085	0.22165320846327746
G1SAT	0.0011689599097679645	0.002922399774419916
G3PAT120	0.002326541951206822	0.005816354878017065
G3PAT140	0.0016971905475811036	0.004242976368952766
G3PAT141	0.007533673320929199	0.01883418330232303
G3PAT160	0.04590340787411278	0.11475851968528214
G3PAT161ab	0.026104737929666784	0.06526184482416707
G3PAT180	0.0013677441715751041	0.0034193604289377653
G3PAT181	0.010203199619053322	0.02550799904763335
G3PD2	-0.2837735618990394	-0.11350942475961565
G6PDH2r	0.2549252503189387	28.95007756875132
GALT1	0.008513258223000614	0.02128314555750157
GALT2	0.008513258223000614	0.02128314555750157
GALUi	0.04256629111500307	0.10641572778750785
GAPD2	0.04549960160242339	9.44060020753392
GART	0.0005844799548839824	0.001461199887209956
GCALDD	0.00043835996616298743	0.0010958999154074675
GF6PTA	0.08866128338531085	0.22165320846327746
GHMT2r	-0.230739617645112	0.5352593291100565
GK1	0.0880728171902744	0.22018204297568636
GLCtex	0.604899394068525	10.0
GLCtpp	0.6048993940684831	10.0
GLCTR1	0.008513258223000614	0.021283145557501586
GLNt1pp	0.33953292959641657	1.0637055821486825
GLNtex	0.3395329295964302	1.0637055821487138
GLUDy1	-0.07008681297564791	-0.02803472519025917
GLUPRT	0.0005844799548839824	0.001461199887209958
GLUR	-0.06826031311663555	-0.027304125246654192
GLUt1pp	0.0	0.9224703866890006
GLUtex	0.0	0.9224703866890422
GLUTRR	0.0011689599097679645	0.002922399774419916
GLUTRS	0.0011689599097679645	0.002922399774419916
GLYCL	-0.5014960496332439	0.2643389514480985
GLYCLTt2rpp	-0.0010958999154074666	-0.00043835996616298743
GLYCLTtex	-0.0010958999154127014	-0.0004383599662105553
GLYt1pp	0.0	1.5267997342806237
GLYt2pp	0.0	1.5267997342807118
GLYtex	0.0	1.5267997342807575
GMHEPAT	0.017026516446001227	0.04256629111500309
GMHEPK	0.017026516446001227	0.04256629111500314
GMHEPPA	0.017026516446001227	0.04256629111500314
GMPS2	0.0005844799548839824	0.21938848145882853
GNAT1	0.008513258223000614	0.02128314555750156
GNAT2	0.008513258223000614	0.02128314555750157
GND	0.0	28.95007756875133
GRTT	0.000182158550961599	0.0004553963774039995
GTPCI	0.00043835996616298743	0.0010958999154074675
GTPCII2	0.00029223997744199097	0.000730599943604979
GUAPRT	0.0	0.2187208430884764
GUAt2pp	0.0	0.2187208430884764
GUAtex	0.0	0.2187208430884764
H2Otex	-120.18936929199766	-41.06781641802733
H2Otpp	-105.26039589552774	-33.11558605259281
HBZOPT	0.00014611998872099557	0.00036529997180248915
HCO3E	1.6002936709280644	4.000734177320167
HEPT1	0.008513258223000614	0.02128314555750157
HEPT2	0.008513258223000614	0.02128314555750157
HEX1	0.6048993940684942	10.0
HGFE	3.652999718024889e-05	9.132499295062244e-05
HISt1pp	0.06626560088318095	0.16566400220795263
HIStex	0.06626560088318456	0.16566400220790456
HMBS	0.00014611998872099557	0.0003652999718024895
ICDHyr	0.0	12.302240956760649
ILEt1pp	0.19126657091665852	0.4781664272916462
ILEtex	0.19126657091669585	0.47816642729162595
IMPC	-0.0014611998872099564	-0.0005844799548839824
IMPD	0.0005844799548839824	0.0014611998872099568
IPDPS	0.0013832255434530032	0.003458063858632526
KARA1	-0.0009435550841185842	0.0
KAS14	0.0	0.6033813504156352
KAS15	0.0	0.603381350415635
KDOCT2	0.017026516446001227	0.04256629111500314
KDOPP	0.017026516446001227	0.04256629111500314
KDOPS	0.017026516446001227	0.04256629111500314
Ktex	0.1163717937078422	0.29092948426960596
Ktpp	0.1163717937078422	0.29092948426960596
LDH_D	-27.010284192698435	10.0
LEUt1pp	0.3096874751756048	0.7742186879390123
LEUtex	0.30968747517556494	0.7742186879389692
LPADSS	0.008513258223000614	0.02128314555750157
LYSt1pp	0.23002967585019457	0.5750741896254873
LYStex	0.2300296758502327	0.5750741896255249
MAc1	0.005460825049330838	0.013652062623327117
MAc2	0.0036405500328872257	0.009101375082218078
MCOATA	1.5997091909731804	3.9992729774329567
MCTP2App	0.0036405500328872257	0.009101375082218078
MDDCP2pp	0.0036405500328872257	0.009101375082218078
MDDCP6pp	0.005460825049330838	0.013652062623327117
MDH2	0.24501143438602024	12.54725239114668
MECDPDH2	0.0015653840944146022	0.003913460236036526
MECDPS	0.0015653840944146022	0.003913460236036526
MEPCT	0.0015653840944146022	0.003913460236036526
METAT	0.0004383599661629867	0.0010958999154074684
METS	0.00029223997744199113	0.000730599943604979
METt1pp	0.06718522464438212	0.16796306161095556
METtex	0.06718522464439047	0.16796306161097618
MG2t1pp	-117.90682682820196	0.01293292949498051
MG2t2pp	0.0	117.91199999999994
MG2tex	0.005173171797991927	0.01293292949503666
MN2abcpp	0.002069268719196879	0.005173171797992205
MNtex	0.0020692687191967707	0.005173171797991927
MOAT	0.008513258223000614	0.02128314555750157
MOAT2	0.008513258223000614	0.02128314555750157
MOBDabcpp	0.002069268719196879	0.005173171797992205
MOBDtex	0.0020692687191967707	0.005173171797991927
MOHMT	0.00037742203364699023	0.0009435550841171296
MPTG	0.009101375082218064	0.022753437705545193
MPTG2	0.009101375082218064	0.022753437705545193
MTHFR2	0.00029223997744199113	0.000730599943604979
N2Otex	-5.0	5.711272412335763
NADH16pp	9.289552939259275	49.48287842578609
NADHQNa	0.025752173707256534	0.8274676868211339
NADK	0.0002928952240282001	0.0007322380600702376
NADS1	0.0014926517233455172	0.003731629308368035
NADTRHD	0.0	56.764684059823274
NDPK2	0.2899190169021484	0.7247975422553713
NDPK3	0.09340340242204706	0.2335085060551177
NDPK4	0.012689529790914892	0.03172382447728728
NDPK5	0.013460960432146646	0.03365240108036667
NDPK7	0.013460960432146646	0.03365240108036667
NDPK8	0.012689529790914892	0.03172382447728728
biomass	0.6552465861928052	1.6381164654820155
NNATr	0.001492651723347338	0.003731629308368035
NNDPR	0.001492651723347338	0.003731629308368035
NO2R	-10.0	11.422544824671526
NO2tex	-11.42254482467149	10.0
NOR	-5.711272412335747	5.0
O2tex	5.260999999999967	20.0
O2tpp	5.261000000000005	20.0
OCTDPS	0.00014611998872099557	0.0003652999718024892
OHPBAT	0.00014611998872099557	0.0003652999718024895
OPHBDC	0.00014611998872099557	0.0003652999718024895
OPHHX	0.00014611998872099557	0.0003652999718024895
P5CD	0.0	0.9086090190533671
P5CR	-0.9026963426391037	0.006002877787758835
PA120abcpp	0.00032995269471031803	0.0008248817367757964
PA141abcpp	0.0002435759935681052	0.0006089399839202639
PA160abcpp	0.0013602745505557814	0.003400686376389459
pa161abcpp	0.003699118544068541	0.009247796360171368
PA180abcpp	0.0001900743494680943	0.00047518587367023656
pa181abcpp	0.0014184590016233906	0.003546147504058482
PANTS	0.00037742203364699023	0.0009435550841171296
PAPPT3	0.027304125246654192	0.06826031311663558
PDH	0.0	33.84014583815702
PDX5POi	0.00014611998872099557	0.0003652999718024895
PDX5PS	0.00014611998872099557	0.0003652999718024895
PE120abcpp	0.0015355441648793912	0.003838860412198484
PE140abcpp	0.0016773229468904688	0.004193307367226179
PE141abcpp	0.005385979754109502	0.013464949385273777
PE160abcpp	0.03652922612484244	0.09132306531210624
pe161abcpp	0.01675348590641962	0.04188371476604911
PE180abcpp	0.0009031576693718855	0.0022578941734297175
pe181abcpp	0.006737394368127054	0.01684348592031766
PERD	0.00014611998872099557	0.0003652999718024895
PG120abcpp	0.000461045091617113	0.0011526127290427844
PG140abcpp	1.9867600690634808e-05	4.9669001726587096e-05
PG141abcpp	0.0019041175732515917	0.004760293933128987
PG160abcpp	0.00801390719871456	0.02003476799678643
pg161abcpp	0.005652133479178624	0.014130333697946581
PG180abcpp	0.00027451215273512417	0.0006862803818378115
pg181abcpp	0.002047346249302877	0.005118365623257201
PGAMT	-0.22165320846327746	-0.08866128338531085
PGI	-18.99264385986637	0.7685196315863569
PGK	-9.440600207533887	-0.04549960160242349
PGL	0.2549252503189434	28.95007756875134
PGM	-9.440600207533898	-0.04549960160242349
PGMT1	-0.10641572778750787	-0.04256629111500307
PGPP120	0.000461045091617113	0.0011526127290427844
PGPP140	1.9867600690634808e-05	4.9669001726587096e-05
PGPP141	0.0019041175732515917	0.004760293933128987
PGPP160	0.00801390719871456	0.02003476799678643
PGPP161a	0.005652133479178624	0.014130333697946581
PGPP180	0.00027451215273512417	0.0006862803818378115
PGPP181	0.002047346249302877	0.005118365623257201
PGSA120	0.000461045091617113	0.0011526127290427844
PGSA140	1.9867600690634808e-05	4.9669001726587096e-05
PGSA141	0.0019041175732515917	0.004760293933128987
PGSA160	0.00801390719871456	0.02003476799678643
PGSA161a	0.005652133479178624	0.014130333697946581
PGSA180	0.00027451215273512417	0.0006862803818378115
PGSA181	0.002047346249302877	0.005118365623257201
PHEMEtpp	0.00014611998872099557	0.0003652999718024895
PHEt1pp	0.130410139199802	0.3260253479995055
PHEtex	0.130410139199802	0.3260253479995055
PIt2rpp	0.9316143113908553	2.329035778477113
PItex	0.9316143113908553	2.329035778477113
PMDPHT	0.00029223997744199097	0.000730599943604979
PNTK	0.00037742203364699023	0.0009435550841171296
PPA	0.0	58.95600000000001
PPBNGS	0.0005844799548839823	0.0014611998872099562
PPCDC	0.00037742203364699023	0.0009435550841171296
PPKr	-1.561938551749089	58.41645300878105
PPNCL2	0.0003774220336472123	0.0009435550841171286
PRAGSr	0.0005844799548839824	0.0014611998872099575
PRAIS	0.0005844799548839824	0.0014611998872099575
PRASCSi	0.0005844799548839824	0.0014611998872099575
PRFGS	0.0005844799548839824	0.0014611998872099575
PROD2	0.002401151115103535	0.006002877787758846
PROt2rpp	0.16148529934675054	1.306255928775949
PROtex	0.1614852993467366	1.306255928775954
PRPPS	0.2760905246091667	0.6902263115229165
PSCVT	0.000584479954883983	0.001461199887209957
PSD120	0.0015355441648793912	0.003838860412198484
PSD140	0.0016773229468904688	0.004193307367226179
PSD141	0.005385979754109502	0.013464949385273777
PSD160	0.03652922612484244	0.09132306531210624
PSD161a	0.01675348590641962	0.04188371476604911
PSD180	0.0009031576693718855	0.0022578941734297175
PSD181	0.006737394368127054	0.01684348592031766
PSSA120	0.0015355441648793912	0.003838860412198484
PSSA140	0.0016773229468904688	0.004193307367226179
PSSA141	0.005385979754109502	0.013464949385273777
PSSA160	0.03652922612484244	0.09132306531210624
PSSA161a	0.01675348590641962	0.04188371476604911
PSSA180	0.0009031576693718855	0.0022578941734297175
PSSA181	0.006737394368127054	0.01684348592031766
PTAr	-10.024781269550331	29.597233945655844
PTPATi	0.0003774220336474343	0.0009435550841171293
PYK	0.0	9.395100605931498
PYRtex	0.0	10.0
PYRtrpp	0.0	10.0
QULNS	0.001492651723347338	0.003731629308368031
RBFK	0.00014611998872099538	0.0003652999718024895
RBFSa	0.0005844799548839819	0.001461199887209958
RBFSb	0.00029223997744199097	0.000730599943604979
RHCCE	0.00029223997744199113	0.000730599943604979
RNDR1	0.012689529790914892	0.03172382447728728
RNDR2	0.013460960432146646	0.03365240108036667
RNDR3	0.013460960432146646	0.03365240108036667
RNDR4	0.012689529790914892	0.03172382447728728
RPE	-0.5043001320080653	19.098331659697642
RPI	-9.8341349126528	-0.18410905640234712
S7PI	0.017026516446001227	0.04256629111500312
SDPDS	0.027304125246654192	0.06826031311663558
SDPTA	-0.06826031311663551	-0.027304125246654192
SERD_L	0.0	0.7671248250934806
SERt1rpp	0.17237960213156492	1.9651986555158742
SERtex	0.17237960213151382	1.9651986555159056
SHCHD2	0.00014611998872099557	0.0003652999718024895
SHK3Dr	0.000584479954883983	0.001461199887209957
SHKK	0.000584479954883983	0.001461199887209957
SO4tex	0.0025869135222365003	0.0064672838057049375
SUCD1	0.24442695443113602	12.546667911191795
SUCOAS	-12.519363785945124	-0.21712282918448184
SULabcpp	0.002586913522289195	0.00646728380572299
T2DECAI	0.06727682250119196	0.16819205625298017
T2HDECI	0.05220947585933357	0.13052368964833413
T2MRSI	0.020406399238106644	0.0510159980952667
TALA	-0.2725199616320422	9.541017871597624
TDSK	0.008513258223000614	0.02128314555750157
THDPS	0.027304125246654192	0.06826031311663558
THFL	0.000730599943604978	0.001826499859012447
THMabcpp	0.00014611998872099557	0.0003652999718024895
THMtex	0.00014611998872099557	0.0003652999718024895
THRt1rpp	0.18937755561144054	0.47344388902860207
THRtex	0.18937755561148606	0.4734438890286583
TKT1	-0.2299536705170304	9.558044388043626
TKT2	-0.27434646149104047	9.540287271654023
TMDS	0.012689529790914892	0.03172382447728728
TMK	0.00014611998872099557	0.0003652999718024895
TMPK	0.00014611998872099557	0.0003652999718024895
TPI	-0.2875051912074074	-0.11500207648296298
TRDR2	0.05230098044612308	0.13075245111530784
TRPt1rpp	0.04517799272377502	0.11294498180943773
TRPtex	0.045177992723779425	0.11294498180939172
TYRabcpp	0.09352340639818281	0.2338085159954574
TYRtex	0.09352340639818281	0.2338085159954574
U23GAAT	0.017026516446001227	0.04256629111500314
UAAGDS	0.027304125246654192	0.06826031311663558
UAGAAT	0.017026516446001227	0.04256629111500314
UAGCVT	0.027304125246654192	0.06826031311663558
UAGDP	0.08866128338531085	0.22165320846327746
UAGPT3	0.027304125246654192	0.06826031311663558
UAMAGS	0.027304125246654192	0.06826031311663558
UAMAS	0.027304125246654192	0.06826031311663558
UAPGR	0.027304125246654192	0.06826031311663558
UCYR	18.651511108033407	49.99956164003384
UDCPDP	0.027304125246654192	0.06826031311663558
UDCPDPS	3.603856224060342e-05	9.009640560151002e-05
UDPG4E	0.017026516446001227	0.04256629111500314
UGMDDS	0.027304125246654192	0.06826031311663558
UHGADA	0.017026516446001227	0.04256629111500314
UMPK	0.2071983556624042	0.5179958891560111
UPP3MT	0.00014611998872099557	0.0003652999718024895
UPP3S	0.00014611998872099557	0.0003652999718024895
UPPRT	0.17138097219274934	0.42845243048187404
URAt1pp	0.17138097219274934	0.42845243048187404
URAtex	0.1713809721927646	0.4284524304819115
URIDK2r	-0.03172382447728728	-0.012689529790914892
USHD	0.008513258223000614	0.02128314555750156
VALt1pp	0.28783007730374116	0.7205161537728927
VALtex	0.28783007730374116	0.7205161537728914
VPAMT	-0.0009435516863981008	0.0
XANt2pp	0.0	0.21793254790480024
XANtex	0.0	0.21793254790475203
XPRT	0.0	0.21793254790480013
ZN2abcpp	0.002069268719196879	0.005173171797992203
Zn2tex	0.0020692687191967707	0.005173171797991927
CYPOX	0.00014611998872099557	0.0003652999718024895
GLCTR2	0.008513258223000614	0.02128314555750156
GALT3	0.008513258223000614	0.02128314555750157
