RefSeq_ID,Protein_ID,Gene_ID,Uniprot_ID,BVBRC_ID,PUBMLST_locus
NGO0060,YP_207237.1,3282348,Q5FAG2,fig|242231.10.peg.69,NEIS0376
NGO0062,YP_207238.1,3282323,Q5FAG1,fig|242231.10.peg.72,NEIS0378
NGO0063,YP_207239.1,3282306,Q5FAG0,fig|242231.10.peg.73,NEIS0379
NGO0064,YP_207240.1,3282310,Q5FAF9,fig|242231.10.peg.74,NEIS2583
NGO0065,YP_207241.1,3282317,Q5FAF8,fig|242231.10.peg.75,NEIS0380
NGO0066,YP_207242.1,3282277,Q5FAF7,fig|242231.10.peg.76,NEIS0381
NGO0068,YP_207243.1,3282316,#N/A,fig|242231.10.peg.83,NEIS0382
NGO0069,YP_207244.1,3282308,Q5FAF5,fig|242231.10.peg.85,NEIS0383
NGO0070,YP_207245.1,3282321,#N/A,fig|242231.10.peg.88,#N/A
NGO0071,YP_207246.1,3282278,Q5FAF3,fig|242231.10.peg.92,NEIS0384
NGO0072,YP_207247.1,3282290,Q5FAF2,fig|242231.10.peg.93,NEIS0385
NGO0073,YP_207248.1,3282279,Q5FAF1,fig|242231.10.peg.95,NEIS0386
NGO0076,YP_207249.1,3282261,#N/A,fig|242231.10.peg.100,#N/A
NGO0077,YP_207250.1,3282275,#N/A,fig|242231.10.peg.101,NEIS0388
NGO0078,YP_207251.1,3282282,Q5FAE8,fig|242231.10.peg.102,NEIS0389
NGO0079,YP_207252.1,3283048,Q5FAE7,fig|242231.10.peg.105,NEIS0390
NGO0080,YP_207253.1,3282269,Q5FAE6,fig|242231.10.peg.106,NEIS0392
NGO0081,YP_207254.1,3282263,Q5FAE5,fig|242231.10.peg.108,NEIS0394
NGO0082,YP_207255.1,3282138,Q5FAE4,fig|242231.10.peg.109,NEIS0395
NGO0083,YP_207256.1,3282320,Q5FAE3,fig|242231.10.peg.110,NEIS0396
NGO0084,YP_207257.1,3282259,#N/A,fig|242231.10.peg.111,NEIS0397
NGO0085,YP_207258.1,3282309,Q5FAE1,fig|242231.10.peg.112,NEIS0399
NGO0086,YP_207259.1,3282285,Q5FAE0,fig|242231.10.peg.113,NEIS0400
NGO0087,YP_207260.1,3282283,Q5FAD9,fig|242231.10.peg.114,NEIS0401
NGO0088,YP_207261.1,3282288,Q5FAD8,fig|242231.10.peg.115,NEIS0402
NGO0089,YP_207262.1,3282253,Q5FAD7,fig|242231.10.peg.116,NEIS0403
NGO0090,YP_207263.1,3282251,Q5FAD6,fig|242231.10.peg.117,NEIS0404
NGO0091,YP_207264.1,3282132,Q5FAD5,fig|242231.10.peg.118,NEIS0405
NGO0092,YP_207265.1,3282137,Q5FAD4,fig|242231.10.peg.120,NEIS0406
NGO0093,YP_207266.1,3282244,Q5FAD3,fig|242231.10.peg.121,NEIS0407
NGO0094,YP_207267.1,3282403,Q5FAD2,fig|242231.10.peg.126,NEIS0408
NGO0095,YP_207268.1,3282291,Q5FAD1,fig|242231.10.peg.127,NEIS0409
NGO0096,YP_207269.1,3282139,Q5FAD0,fig|242231.10.peg.128,NEIS0410
NGO0097,YP_207270.1,3282268,Q5FAC9,fig|242231.10.peg.129,NEIS0411
NGO0098,YP_207271.1,3282223,Q5FAC8,fig|242231.10.peg.130,NEIS0412
NGO0099,YP_207272.1,3282452,Q5FAC7,fig|242231.10.peg.131,NEIS0414
NGO0100,YP_207273.1,3282443,#N/A,fig|242231.10.peg.132,NEIS0415
NGO0101,YP_207274.1,3282451,Q5FAC5,fig|242231.10.peg.134,NEIS0416
NGO0102,YP_207275.1,3282446,#N/A,fig|242231.10.peg.135,NEIS0417
NGO0103,YP_207276.1,3282441,Q5FAC3,fig|242231.10.peg.136,NEIS0418
NGO0104,YP_207277.1,3282444,Q5FAC2,fig|242231.10.peg.137,NEIS0419
NGO0105,YP_207278.1,3282380,#N/A,fig|242231.10.peg.138,NEIS0421
NGO0106,YP_207279.2,3282432,Q5FAC0,fig|242231.10.peg.139,NEIS0422
NGO0107,YP_207280.1,3282411,Q5FAB9,fig|242231.10.peg.140,NEIS0425
NGO0108,YP_207281.1,3282425,#N/A,fig|242231.10.peg.141,NEIS0426
NGO0109,YP_207282.1,3282413,Q5FAB7,fig|242231.10.peg.142,#N/A
NGO0110,YP_207283.1,3282426,Q5FAB6,fig|242231.10.peg.144,NEIS0427
NGO0112,YP_207284.1,3282418,Q5FAB5,fig|242231.10.peg.146,NEIS0429
NGO0113,YP_207285.1,3282417,Q5FAB4,fig|242231.10.peg.147,NEIS0430
NGO0114,YP_207286.1,3283078,Q5FAB3,fig|242231.10.peg.149,NEIS0431
NGO0115,YP_207287.1,3282410,#N/A,#N/A,#N/A
NGO0116,YP_207288.1,3282400,Q5FAB1,fig|242231.10.peg.150,NEIS0432
NGO0117,YP_207289.1,3282408,#N/A,fig|242231.10.peg.151,NEIS0433
NGO0118,YP_207290.1,3282346,Q5FAA9,fig|242231.10.peg.153,NEIS0434
NGO0119,YP_207291.1,3282406,Q5FAA8,fig|242231.10.peg.154,NEIS0435
NGO0120,YP_207292.1,3282405,Q5FAA7,fig|242231.10.peg.155,#N/A
NGO0121,YP_207293.1,3282395,Q5FAA6,fig|242231.10.peg.156,NEIS0436
NGO0122,YP_207294.1,3282398,#N/A,fig|242231.10.peg.157,NEIS0438
NGO0123,YP_207295.1,3282391,Q5FAA4,fig|242231.10.peg.158,NEIS0439
NGO0124,YP_207296.1,3281936,#N/A,fig|242231.10.peg.159,NEIS2584
NGO0125,YP_207297.1,3281221,Q5FAA2,fig|242231.10.peg.160,NEIS2585
NGO0127,YP_207298.1,3281248,Q5FAA1,fig|242231.10.peg.164,NEIS0462
NGO0128,YP_207299.1,3281234,#N/A,#N/A,#N/A
NGO0129,YP_207300.1,3282488,Q5FA99,fig|242231.10.peg.166,NEIS0464
NGO0130,YP_207301.1,3281252,Q5FA98,fig|242231.10.peg.167,NEIS0465
NGO0131,YP_207302.1,3281264,Q5FA97,fig|242231.10.peg.168,NEIS0466
NGO0132,YP_207303.1,3281233,#N/A,fig|242231.10.peg.170,NEIS0468
NGO0133,YP_207304.1,3282468,#N/A,#N/A,#N/A
NGO0135,YP_207305.1,3281288,Q5FA94,fig|242231.10.peg.173,NEIS0469
NGO0136,YP_207306.1,3281295,Q5FA93,fig|242231.10.peg.174,NEIS0470
NGO0137,YP_207307.1,3282110,Q5FA92,fig|242231.10.peg.175,#N/A
NGO0138,YP_207308.1,3281276,Q5FA91,fig|242231.10.peg.176,NEIS0471
NGO0139,YP_207309.1,3281300,Q5FA90,fig|242231.10.peg.177,NEIS0472
NGO0140,YP_207310.1,3281291,Q5FA89,fig|242231.10.peg.178,NEIS0473
NGO0141,YP_207311.1,3281965,Q5FA88,fig|242231.10.peg.179,#N/A
NGO0142,YP_207312.1,3281278,#N/A,fig|242231.10.peg.180,NEIS0474
NGO0143,YP_207313.1,3281299,Q5FA86,fig|242231.10.peg.182,NEIS0475
NGO0144,YP_207314.1,3281301,Q5FA85,fig|242231.10.peg.183,NEIS0476
NGO0145,YP_207315.1,3281313,#N/A,fig|242231.10.peg.184,NEIS0477
NGO0146,YP_207316.1,3281294,Q5FA83,fig|242231.10.peg.185,NEIS0478
NGO0147,YP_207317.1,3281304,#N/A,fig|242231.10.peg.189,#N/A
NGO0148,YP_207318.1,3282579,#N/A,fig|242231.10.peg.190,#N/A
NGO0149,YP_207319.1,3281290,Q5FA80,fig|242231.10.peg.192,NEIS1355
NGO0150,YP_207320.1,3281346,#N/A,fig|242231.10.peg.193,#N/A
NGO0151,YP_207321.1,3281316,Q5FA78,fig|242231.10.peg.194,NEIS1354
NGO0152,YP_207322.1,3283047,#N/A,fig|242231.10.peg.196,NEIS1353
NGO0153,YP_207323.2,3281312,Q5FA76,fig|242231.10.peg.197,NEIS1352
NGO0154,YP_207324.1,3281330,#N/A,fig|242231.10.peg.198,#N/A
NGO0155,YP_207325.1,3281320,#N/A,fig|242231.10.peg.200,#N/A
NGO0156,YP_207326.1,3281349,Q5FA73,fig|242231.10.peg.201,NEIS1348
NGO0158,YP_207327.1,3281350,Q5FA72,fig|242231.10.peg.202,NEIS1347
NGO0160,YP_207328.1,3281354,Q5FA71,fig|242231.10.peg.204,#N/A
NGO0161,YP_207329.1,3281372,Q5FA70,fig|242231.10.peg.205,NEIS0796
NGO0162,YP_207330.1,3281325,#N/A,fig|242231.10.peg.206,#N/A
NGO0163,YP_207331.1,3281366,Q5FA68,fig|242231.10.peg.207,NEIS2392
NGO0164,YP_207332.1,3281392,Q5FA67,fig|242231.10.peg.208,NEIS0800
NGO0165,YP_207333.1,3281391,Q5FA66,fig|242231.10.peg.209,NEIS0801
NGO0166,YP_207334.1,3281383,Q5FA65,fig|242231.10.peg.210,NEIS0807
NGO0167,YP_207335.1,3281385,#N/A,#N/A,#N/A
NGO0168,YP_207336.1,3281403,Q5FA63,fig|242231.10.peg.211,NEIS0528
NGO0169,YP_207337.1,3281401,#N/A,fig|242231.10.peg.212,NEIS0529
NGO0170,YP_207338.1,3281376,Q5FA61,fig|242231.10.peg.213,NEIS0530
NGO0171,YP_207339.1,3281328,Q5FA60,fig|242231.10.peg.215,NEIS0531
NGO0172,YP_207340.1,3281334,Q5FA59,fig|242231.10.peg.216,NEIS0532
NGO0173,YP_207341.1,3281175,Q5FA58,fig|242231.10.peg.217,NEIS0533
NGO0174,YP_207342.1,3281160,Q5FA57,fig|242231.10.peg.218,NEIS0534
NGO0176,YP_207343.1,3281293,Q5FA56,fig|242231.10.peg.222,NEIS0536
NGO0177,YP_207344.1,3281311,Q5FA55,fig|242231.10.peg.223,NEIS0537
NGO0178,YP_207345.1,3281327,Q5FA54,fig|242231.10.peg.224,NEIS0539
NGO0179,YP_207346.1,3283046,Q5FA53,fig|242231.10.peg.225,NEIS0540
NGO0180,YP_207347.1,3281464,#N/A,fig|242231.10.peg.226,NEIS0541
NGO0181,YP_207348.1,3281433,Q5FA51,fig|242231.10.peg.227,NEIS0542
NGO0182,YP_207349.1,3281448,Q5FA50,fig|242231.10.peg.228,NEIS0543
NGO0183,YP_207350.1,3281482,Q5FA49,fig|242231.10.peg.229,NEIS2375
NGO0184,YP_207351.1,3281428,Q5FA48,fig|242231.10.peg.230,NEIS0545
NGO0185,YP_207352.1,3281511,Q5FA47,fig|242231.10.peg.231,NEIS0546
NGO0186,YP_207353.1,3281536,Q5FA46,fig|242231.10.peg.232,NEIS0547
NGO0187,YP_207354.1,3281567,Q5FA45,fig|242231.10.peg.234,NEIS0548
NGO0188,YP_207355.1,3281554,Q5FA44,fig|242231.10.peg.235,NEIS0549
NGO0189,YP_207356.1,3281517,#N/A,fig|242231.10.peg.236,NEIS0550
NGO0190,YP_207357.1,3281564,Q5FA42,fig|242231.10.peg.237,NEIS0551
NGO0191,YP_207358.1,3281588,Q5FA41,fig|242231.10.peg.238,NEIS0552
NGO0192,YP_207359.1,3281640,#N/A,fig|242231.10.peg.239,NEIS0553
NGO0195,YP_207360.1,3281667,Q5FA39,fig|242231.10.peg.242,NEIS0554
NGO0196,YP_207361.1,3281651,Q5FA38,fig|242231.10.peg.243,NEIS0555
NGO0197,YP_207362.1,3281682,#N/A,fig|242231.10.peg.244,NEIS0556
NGO0198,YP_207363.1,3281685,#N/A,fig|242231.10.peg.245,NEIS0557
NGO0199,YP_207364.1,3281719,Q5FA35,fig|242231.10.peg.247,NEIS0560
NGO0200,YP_207365.1,3281742,Q5FA34,fig|242231.10.peg.248,NEIS0561
NGO0201,YP_207366.1,3281705,Q5FA33,fig|242231.10.peg.250,#N/A
NGO0202,YP_207367.1,3281768,Q5FA32,fig|242231.10.peg.251,NEIS0562
NGO0203,YP_207368.1,3282551,#N/A,fig|242231.10.peg.252,NEIS0563
NGO0204,YP_207369.1,3281097,Q5FA30,fig|242231.10.peg.253,NEIS0565
NGO0205,YP_207370.1,3282546,Q5FA29,fig|242231.10.peg.255,NEIS0566
NGO0206,YP_207371.1,3281089,Q5FA28,fig|242231.10.peg.257,NEIS0567
NGO0207,YP_207372.1,3281408,Q5FA27,fig|242231.10.peg.258,NEIS0568
NGO0208,YP_207373.1,3281351,Q5FA26,fig|242231.10.peg.259,NEIS0569
NGO0209,YP_207374.1,3281358,Q5FA25,fig|242231.10.peg.260,NEIS0570
NGO0210,YP_207375.1,3281419,Q5FA24,fig|242231.10.peg.261,NEIS0571
NGO0211,YP_207376.1,3281422,Q5FA23,fig|242231.10.peg.262,NEIS0572
NGO0212,YP_207377.1,3281397,Q5FA22,fig|242231.10.peg.263,NEIS0573
NGO0213,YP_207378.1,3281167,Q5FA21,fig|242231.10.peg.264,NEIS0574
NGO0214,YP_207379.1,3281410,Q5FA20,fig|242231.10.peg.265,NEIS0575
NGO0215,YP_207380.1,3281434,Q5FA19,fig|242231.10.peg.267,NEIS0576
NGO0216,YP_207381.1,3281381,#N/A,fig|242231.10.peg.268,NEIS0577
NGO0217,YP_207382.1,3281438,Q5FA17,fig|242231.10.peg.269,NEIS0578
NGO0218,YP_207383.1,3281454,#N/A,fig|242231.10.peg.270,#N/A
NGO0219,YP_207384.1,3281430,Q5FA15,fig|242231.10.peg.271,NEIS0580
NGO0220,YP_207385.1,3281452,Q5FA14,fig|242231.10.peg.272,#N/A
NGO0221,YP_207386.1,3281441,Q5FA13,fig|242231.10.peg.273,NEIS0582
NGO0222,YP_207387.1,3281455,Q5FA12,fig|242231.10.peg.274,NEIS0583
NGO0223,YP_207388.1,3281467,Q5FA11,fig|242231.10.peg.275,NEIS0584
NGO0224,YP_207389.1,3281460,#N/A,fig|242231.10.peg.276,NEIS0585
NGO0225,YP_207390.1,3281479,Q5FA09,fig|242231.10.peg.277,#N/A
NGO0226,YP_207391.1,3281476,Q5FA08,fig|242231.10.peg.278,NEIS0591
NGO0227,YP_207392.1,3281474,Q5FA07,fig|242231.10.peg.280,NEIS0593
NGO0228,YP_207393.1,3281465,Q5FA06,fig|242231.10.peg.281,#N/A
NGO0229,YP_207394.1,3281469,Q5FA05,fig|242231.10.peg.283,#N/A
NGO0230,YP_207395.1,3281492,Q5FA04,fig|242231.10.peg.284,NEIS0609
NGO0231,YP_207396.1,3281453,Q5FA03,fig|242231.10.peg.285,NEIS0610
NGO0232,YP_207397.1,3281362,Q5FA02,fig|242231.10.peg.286,NEIS0611
NGO0233,YP_207398.1,3281494,Q5FA01,fig|242231.10.peg.287,NEIS0612
NGO0234,YP_207399.1,3281485,Q5FA00,fig|242231.10.peg.290,NEIS0613
NGO0235,YP_207400.1,3281488,Q5F9Z9,fig|242231.10.peg.291,NEIS0614
NGO0236,YP_207401.1,3281509,Q5F9Z8,fig|242231.10.peg.292,NEIS0615
NGO0237,YP_207402.1,3281496,Q5F9Z7,fig|242231.10.peg.293,NEIS0617
NGO0238,YP_207403.1,3281513,#N/A,fig|242231.10.peg.294,#N/A
NGO0239,YP_207404.1,3281463,Q5F9Z5,fig|242231.10.peg.296,NEIS0619
NGO0240,YP_207405.1,3281502,#N/A,fig|242231.10.peg.297,NEIS0620
NGO0241,YP_207406.1,3281519,#N/A,fig|242231.10.peg.298,#N/A
NGO0242,YP_207407.1,3281520,Q5F9Z2,fig|242231.10.peg.299,NEIS0621
NGO0243,YP_207408.1,3281497,Q5F9Z1,fig|242231.10.peg.300,NEIS0622
NGO0244,YP_207409.1,3281515,Q5F9Z0,fig|242231.10.peg.301,NEIS0623
NGO0245,YP_207410.1,3281505,Q5F9Y9,fig|242231.10.peg.302,NEIS0624
NGO0246,YP_207411.1,3281345,#N/A,fig|242231.10.peg.303,#N/A
NGO0247,YP_207412.1,3281539,#N/A,fig|242231.10.peg.304,#N/A
NGO0248,YP_207413.1,3281525,Q5F9Y6,fig|242231.10.peg.306,NEIS0628
NGO0249,YP_207414.1,3281537,Q5F9Y5,fig|242231.10.peg.307,NEIS0629
NGO0250,YP_207415.1,3281541,Q5F9Y4,fig|242231.10.peg.308,NEIS0630
NGO0252,YP_207416.1,3281548,#N/A,fig|242231.10.peg.310,NEIS0632
NGO0253,YP_207417.1,3281553,#N/A,fig|242231.10.peg.311,#N/A
NGO0255,YP_207418.1,3281552,Q5F9Y1,fig|242231.10.peg.314,NEIS0633
NGO0256,YP_207419.1,3281560,Q5F9Y0,fig|242231.10.peg.315,NEIS0634
NGO0257,YP_207420.1,3281556,Q5F9X9,fig|242231.10.peg.316,NEIS0635
NGO0258,YP_207421.1,3281085,Q5F9X8,fig|242231.10.peg.317,NEIS0636
NGO0259,YP_207422.1,3281574,Q5F9X7,fig|242231.10.peg.319,NEIS0637
NGO0260,YP_207423.1,3281558,#N/A,fig|242231.10.peg.320,NEIS0638
NGO0261,YP_207424.1,3281084,Q5F9X5,fig|242231.10.peg.325,NEIS0639
NGO0262,YP_207425.1,3281575,Q5F9X4,fig|242231.10.peg.326,NEIS0640
NGO0263,YP_207426.1,3281534,Q5F9X3,fig|242231.10.peg.327,NEIS0641
NGO0264,YP_207427.1,3281544,Q5F9X2,fig|242231.10.peg.329,NEIS0642
NGO0265,YP_207428.1,3281561,Q5F9X1,fig|242231.10.peg.330,NEIS0643
NGO0266,YP_207429.1,3281551,Q5F9X0,fig|242231.10.peg.331,NEIS0644
NGO0267,YP_207430.1,3281570,Q5F9W9,fig|242231.10.peg.332,NEIS0645
NGO0268,YP_207431.1,3281592,#N/A,fig|242231.10.peg.333,NEIS0646
NGO0269,YP_207432.1,3281579,Q5F9W7,fig|242231.10.peg.334,NEIS0647
NGO0270,YP_207433.1,3281616,Q5F9W6,fig|242231.10.peg.335,NEIS2587
NGO0271,YP_207434.1,3281589,Q5F9W5,fig|242231.10.peg.336,NEIS2588
NGO0272,YP_207435.1,3283045,Q5F9W4,fig|242231.10.peg.337,NEIS0648
NGO0274,YP_207436.1,3281611,Q5F9W3,fig|242231.10.peg.340,NEIS0650
NGO0275,YP_207437.1,3281612,Q5F9W2,fig|242231.10.peg.341,NEIS0651
NGO0276,YP_207438.1,3281597,#N/A,fig|242231.10.peg.343,NEIS0652
NGO0277,YP_207439.1,3281625,Q5F9W0,fig|242231.10.peg.344,NEIS0653
NGO0278,YP_207440.1,3281614,Q5F9V9,fig|242231.10.peg.345,NEIS0654
NGO0280,YP_207441.1,3281633,#N/A,fig|242231.10.peg.348,#N/A
NGO0281,YP_207442.1,3281603,Q5F9V7,fig|242231.10.peg.349,NEIS0656
NGO0282,YP_207443.1,3281623,Q5F9V6,fig|242231.10.peg.350,NEIS0657
NGO0283,YP_207444.1,3281638,Q5F9V5,fig|242231.10.peg.351,NEIS0658
NGO0284,YP_207445.1,3281629,Q5F9V4,fig|242231.10.peg.352,NEIS0659
NGO0285,YP_207446.1,3281607,#N/A,fig|242231.10.peg.353,NEIS0660
NGO0286,YP_207447.1,3281649,Q5F9V2,fig|242231.10.peg.354,NEIS0661
NGO0288,YP_207448.1,3281630,Q5F9V1,fig|242231.10.peg.358,NEIS0663
NGO0289,YP_207449.1,3281662,Q5F9V0,fig|242231.10.peg.359,NEIS0664
NGO0290,YP_207450.1,3281652,#N/A,fig|242231.10.peg.360,#N/A
NGO0291,YP_207451.1,3281641,#N/A,fig|242231.10.peg.361,NEIS0667
NGO0292,YP_207452.1,3281661,#N/A,fig|242231.10.peg.362,NEIS0668
NGO0293,YP_207453.1,3281650,Q5F9U6,fig|242231.10.peg.364,NEIS0669
NGO0294,YP_207454.1,3281620,Q5F9U5,fig|242231.10.peg.365,NEIS0671
NGO0295,YP_207455.1,3281668,Q5F9U4,fig|242231.10.peg.366,NEIS0672
NGO0296,YP_207456.1,3281674,Q5F9U3,fig|242231.10.peg.367,NEIS0673
NGO0297,YP_207457.1,3281658,Q5F9U2,fig|242231.10.peg.368,NEIS0674
NGO0298,YP_207458.1,3281676,Q5F9U1,fig|242231.10.peg.369,NEIS0675
NGO0299,YP_207459.2,3281671,Q5F9U0,fig|242231.10.peg.371,NEIS0676
NGO0300,YP_207460.1,3281315,Q5F9T9,fig|242231.10.peg.372,NEIS0678
NGO0302,YP_207461.1,3281680,Q5F9T8,#N/A,NEIS2589
NGO0303,YP_207462.1,3281684,Q5F9T7,#N/A,NEIS2590
NGO0304,YP_207463.1,3281687,Q5F9T6,fig|242231.10.peg.374,NEIS0681
NGO0305,YP_207464.1,3281528,Q5F9T5,fig|242231.10.peg.375,NEIS0682
NGO0306,YP_207465.1,3281604,Q5F9T4,fig|242231.10.peg.376,NEIS0683
NGO0307,YP_207466.1,3281690,Q5F9T3,fig|242231.10.peg.377,NEIS0684
NGO0308,YP_207467.1,3281697,Q5F9T2,fig|242231.10.peg.379,NEIS0685
NGO0309,YP_207468.1,3281703,Q5F9T1,fig|242231.10.peg.380,NEIS0686
NGO0310,YP_207469.1,3281581,#N/A,fig|242231.10.peg.381,NEIS0687
NGO0311,YP_207470.1,3281699,Q5F9S9,#N/A,NEIS2591
NGO0312,YP_207471.1,3281708,Q5F9S8,fig|242231.10.peg.382,NEIS0688
NGO0313,YP_207472.1,3281731,Q5F9S7,fig|242231.10.peg.383,NEIS0689
NGO0314,YP_207473.1,3281732,Q5F9S6,fig|242231.10.peg.384,NEIS0690
NGO0315,YP_207474.1,3281722,Q5F9S5,fig|242231.10.peg.385,NEIS0691
NGO0316,YP_207475.1,3281727,Q5F9S4,fig|242231.10.peg.387,NEIS0692
NGO0317,YP_207476.1,3281739,Q5F9S3,fig|242231.10.peg.388,NEIS0693
NGO0318,YP_207477.1,3281718,Q5F9S2,fig|242231.10.peg.389,NEIS0694
NGO0319,YP_207478.1,3281723,Q5F9S1,fig|242231.10.peg.390,NEIS0695
NGO0320,YP_207479.1,3281733,#N/A,fig|242231.10.peg.391,NEIS0696
NGO0321,YP_207480.1,3281747,Q5F9R9,fig|242231.10.peg.392,NEIS0697
NGO0322,YP_207481.1,3281749,Q5F9R8,fig|242231.10.peg.393,NEIS0698
NGO0323,YP_207482.1,3281734,Q5F9R7,fig|242231.10.peg.395,NEIS0699
NGO0324,YP_207483.1,3281761,Q5F9R6,fig|242231.10.peg.396,NEIS0700
NGO0326,YP_207484.1,3283044,Q5F9R5,fig|242231.10.peg.399,NEIS0702
NGO0327,YP_207485.1,3283042,Q5F9R4,fig|242231.10.peg.400,NEIS0703
NGO0328,YP_207486.1,3283043,#N/A,fig|242231.10.peg.401,NEIS0704
NGO0329,YP_207487.1,3283041,Q5F9R2,fig|242231.10.peg.402,NEIS0705
NGO0330,YP_207488.1,3283040,#N/A,#N/A,NEIS0706
NGO0331,YP_207489.1,3283039,Q5F9R0,fig|242231.10.peg.405,NEIS0707
NGO0332,YP_207490.1,3281736,Q5F9Q9,fig|242231.10.peg.406,NEIS0708
NGO0333,YP_207491.1,3281760,#N/A,fig|242231.10.peg.407,NEIS0709
NGO0335,YP_207492.1,3283038,Q5F9Q7,fig|242231.10.peg.408,NEIS0710
NGO0336,YP_207493.1,3281777,Q5F9Q6,fig|242231.10.peg.409,NEIS0711
NGO0337,YP_207494.1,3281725,Q5F9Q5,fig|242231.10.peg.410,NEIS0712
NGO0338,YP_207495.1,3281778,Q5F9Q4,fig|242231.10.peg.411,NEIS0713
NGO0339,YP_207496.1,3281751,Q5F9Q3,fig|242231.10.peg.412,NEIS0714
